DOT_Number,Company_Name,DBA_Name,Representative_Name,Representative_Title,Phone,Email,Street_Address,City,State,Zip_Code,Current_Insurance_Carrier,Policy_Expiration_Date,Insurance_Amount_On_File,Fleet_Size,Number_of_Drivers,Operation_Type,Entity_Type
401879,"ROGER MINOR","MINOR'S SUPPLY",,,3308430011,woundnurse2706@gmail.com,,WELLSVILLE,OH,"","UTICA NATIONAL INSURANCE COMPANY",2003-08-18,750000.0,1,0,,""
2224287,"BANNOCKBURN SERVICES INC","",,,2195464080,"",,LANCASTER,OH,"","COLONIAL AMERICAN CASUALTY AND SURETY COMPANY",2003-08-20,0.0,0,0,,""
1223026,"NICHOLAS J MILLER","NJM EXCAVATING SERVICE LLC",,,3308892252,"",,BRISTOLVILLE,OH,"","WESTFIELD INSURANCE CO.",2004-08-02,750000.0,2,0,,""
229763,"CENTURY LINES INC","",,,2162710700,BRUCKER@KEALYTRUCKING.COM,,CLEVELAND,OH,"","NATIONAL INTERSTATE INSURANCE COMPANY",2004-08-07,1000000.0,10,0,,""
120672,"KEALY TRUCKING CO","",,,2162710400,bRUCKER@KEALYTRUCKING.COM,,CLEVELAND,OH,"","NATIONAL INTERSTATE INSURANCE COMPANY",2004-08-07,1000000.0,4,0,,""
611263,"NORCON LTD","","ROBERT NELSON",Representative,"(513) 942-5768",josh.frank@royallogistics.net,,FAIRFIELD,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2004-08-13,1000000.0,1,0,,""
2227114,"DAYSTAR LOGISTICS LLC","",,,7408527446,"",,LONDON,OH,"","PACIFIC FINANCIAL ASSOCIATION, INC.",2004-08-30,0.0,0,0,,""
2228167,"PRIORITY EXPEDITED BROKERAGE INC","",,,5137913900,"",,CINCINNATI,OH,"","CAPITOL INDEMNITY CORPORATION",2004-08-30,0.0,0,0,,""
1379999,"BUCKEYE LEASING INC","",,,3307580841,"",,YOUNGSTOWN,OH,"","LIBERTY MUTUAL INSURANCE CO.",2005-08-21,1000000.0,5,0,,""
2237106,"EVANS EXPRESS INC","",,,9373822625,"",,WILMINGTON,OH,"","PACIFIC FINANCIAL ASSOCIATION, INC.",2006-08-10,0.0,0,0,,""
1509680,"KENNETH F KRAMER","KRAMER TRUCKING",,,5133851303,KENNETHKRAMER1@FUSE.NET,,CINCINNATI,OH,"","PROGRESSIVE CASUALTY INSURANCE COMPANY",2006-08-10,750000.0,1,0,,""
1217255,"MICHAEL D SCOTT","MICHAEL SCOTTS TRUCKING INC",,,4199664880,"",,NAPOLEON,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2006-08-14,750000.0,1,0,,""
853548,"RIVERSIDE MACHINE & AUTOMATION INC","",,,4198558308,MARK@TRUCKINGCONSULTANT.COM,,GENOA,OH,"","THE CINCINNATI INSURANCE CO.",2006-08-21,1000000.0,2,0,,""
1164275,"LINN FARMS LLC","",,,"(419) 942-1025",rajlinn@bright.net,,CELINA,OH,"","UNITED OHIO INSURANCE COMPANY",2006-08-31,500000.0,1,0,,""
450931,"LORI & CHARLES POKOL","L&C TRUCKING",,,3305420100,lcpokol@outlook.com,,"NEW MIDDLETOWN",OH,"","WESTPORT INSURANCE CORPORATION",2007-08-04,750000.0,2,0,,""
1655113,"ASSEM EL ALFI","ASSEM AUTO TRANSPORT",,,7343204615,ASSEMAHLEM@YAHOO.COM,,COLUMBUS,OH,"","PROGRESSIVE CASUALTY INSURANCE COMPANY",2007-08-14,750000.0,0,0,,""
1548949,"MARTIN HAMBLIN","HAMBLIN TRUCKING",,,5138952147,KPTAX@FUSE.NET,,HAMILTON,OH,"","PROGRESSIVE CASUALTY INSURANCE COMPANY",2007-08-14,750000.0,1,0,,""
2240065,"PHILLIPS AG INC","",,,6144337181,"",,WORTHINGTON,OH,"","PACIFIC FINANCIAL ASSOCIATION, INC.",2007-08-15,0.0,0,0,,""
1280422,"MICHAEL M DEMOSS","DEMOSS TRUCKING",,,4192031223,JAKEANDSTACY@roadrunner.com,,"VAN WERT",OH,"","GREAT AMERICAN ASSURANCE COMPANY",2007-08-22,750000.0,0,0,,""
1399040,"VOSSCO LLC","MOVE IT NOW",,,5139427225,MOVEITNOW@FUSE.NET,,CINCINNATI,OH,"","UNDERWRITERS AT LLOYDS LONDON",2007-08-22,750000.0,1,0,,""
1145714,"HART'S TOWING SERVICE INC","",,,4404378697,"",,ORWELL,OH,"","ALLIED PROPERTY & CASUALTY  INSURANCE COMPANY",2007-08-28,750000.0,1,0,,""
1158241,"THREE D TRANSFER INC","",,,6149204859,threedtransfer@aol.com,,PICKERINGTON,OH,"","GRANGE INSURANCE COMPANY.",2008-08-01,750000.0,33,0,,""
1792717,"BRUCE CUTCHER TRUCKING","",,,4193927193,brucecutcher@gmail.com,,MILLBURY,OH,"","UNITED OHIO INSURANCE COMPANY",2008-08-12,1000000.0,1,0,,""
1758454,"AVON AVATAR CORP","",,,4409332335,"",,"AVON LAKE",OH,"","PROGRESSIVE CASUALTY INSURANCE COMPANY",2008-08-18,750000.0,1,0,,""
63391,"GREENWOOD MOTOR LINES INC","R L CARRIERS",,,9373821494,mvance@rlcarriers.com,,WILMINGTON,OH,"","PROTECTIVE INSURANCE CO.",2008-08-18,1000000.0,10296,0,,""
1643444,"JESSE TRANSPORTATION LLC","",,,2164867972,"",,CLEVELAND,OH,"","ARTISAN & TRUCKERS CASUALTY COMPANY",2009-08-04,750000.0,1,0,,""
1855287,"D L S TOWING LLC","",,,5132382716,DLSTOWING@YAHOO.COM,,MILFORD,OH,"","NORTH POINTE INSURANCE COMPANY",2009-08-10,750000.0,2,0,,""
2245688,"INTEGRITY FIRST TRANSPORTATION INC","",,,5138980656,"",,CINCINNATI,OH,"","OASIS CAPITAL INCORPORATED",2010-08-04,0.0,0,0,,""
1671380,"PLM SPECIALIZED CARRIER LLC","",,,3022655265,"",,WESTLAKE,OH,"","NORTHLAND INSURANCE COMPANY",2010-08-13,750000.0,1,0,,""
1215568,"BERGMAN TRUCKING INC","",,,4193754799,"",,"FT RECOVERY",OH,"","CAROLINA CASUALTY INSURANCE CO.",2010-08-18,750000.0,1,0,,""
2063408,"MARVIN YODER","STONEHEDGE CONST TRUCKING",,,4052830698,"",,DUNDEE,OH,"","ARTISAN & TRUCKERS CASUALTY COMPANY",2010-08-21,750000.0,3,0,,""
1409484,"RON PELFREY","",,,5137428500,"",,HAMILTON,OH,"","SENTRY SELECT INSURANCE COMPANY",2010-08-31,750000.0,1,0,,""
2369496,"NATIONWIDE TRANSPORT LLC","",,,5137299275,"",,CINCINNATI,OH,"","PROGRESSIVE NORTHERN INSURANCE COMPANY",2011-08-08,1000000.0,0,0,,""
784593,"CHRIS A DEMENT","DEMENT FARMS",,,7409984913,DEMENTTRUCKING@YAHOO.COM,,FRANKFORT,OH,"","UNITED OHIO INSURANCE COMPANY",2011-08-22,1000000.0,1,0,,""
1009365,"AWE ENVIRONMENTAL TRANSPORT LLC",34-1611539,,,2165737111,ADALESSANDRO@AMERIWASTE-ENV.COM,,"VALLEY VIEW",OH,"","WESTFIELD INSURANCE CO.",2011-08-24,750000.0,1,0,,""
2249548,"SOLTRAX LLC","SOLTRAX LOGISTICS",,,5132762148,"",,MAINEVILLE,OH,"","PACIFIC FINANCIAL ASSOCIATION, INC.",2011-08-24,0.0,0,0,,""
1817076,"BOWEN TRANSPORTATION LLC","",,,9375025499,"",,"SOUTH SALEM",OH,"","GREAT WEST CASUALTY CO.",2011-08-25,1000000.0,5,0,,""
1029482,"MICHAEL C BYRGE","MICHAEL'S EXPRESS",,,5132180290,mbyrge859@aol.com,,CINCINNATI,OH,"","LANCER INSURANCE COMPANY",2011-08-26,750000.0,2,0,,""
518228,"FEECORP CORPORATION","FEECORP ENVIRONMENTAL SERVICES",,,"(614) 837-3010",MDELMATTO@FEECORPINC.COM,,"CANAL WINCHESTER",OH,"","WESTFIELD INSURANCE CO.",2011-08-31,1000000.0,11,0,,""
623131,"C L RICHERT TRUCKING CO INC","",,,7403974500,mark@truckingconsultant.com,,"MOUNT VERNON",OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2012-08-01,750000.0,17,0,,""
1199352,"GREENLAWN COMPANIES INC","",,,6144437421,sdunkle@greenlawncompanies.com,,COLUMBUS,OH,"","THE CINCINNATI INSURANCE CO.",2012-08-01,750000.0,4,0,,""
1030943,"ENVIRO-DRI LLC","",,,3304017889,emdispatch@yahoo.com,,SUGARCREEK,OH,"","PROGRESSIVE CASUALTY INSURANCE COMPANY",2012-08-07,750000.0,1,0,,""
1476355,"KARL'S HAULING INC","",,,5672200159,JJVTURCO@SBCGLOBAL.NET,,TIFFIN,OH,"","THE CINCINNATI INSURANCE CO.",2012-08-11,1000000.0,1,0,,""
1141692,"GEANA FARMS INC","",,,3308871541,DDLTRUCKS@AOL.COM,,SEVILLE,OH,"","NATIONAL CASUALTY COMPANY",2012-08-26,750000.0,1,0,,""
2257459,"BLAIR FARMS LLC","",,,5135821641,"",,ENON,OH,"","ARTISAN & TRUCKERS CASUALTY COMPANY",2012-08-28,750000.0,3,0,,""
560667,"STEVEN REESE","REESE TRUCKING",,,9375454400,STEVEREESE5403@ATT.NET,,CEDARVILLE,OH,"","GREAT WEST CASUALTY CO.",2012-08-29,1000000.0,2,0,,""
2344146,"BONUX LOGISTICS INC","",,,"(216) 973-3363","",,LAKEWOOD,OH,"","PACIFIC FINANCIAL ASSOCIATION, INC.",2012-08-31,0.0,0,0,,""
2087092,"NATHAN STAHLER INC","",,,4192308417,nate@stahleroflima.com,,LIMA,OH,"","THE CINCINNATI INSURANCE CO.",2013-08-06,750000.0,23,0,,""
2046918,"HANASH TRANSPORT LLC","",,,6145560508,"HANASHTRANSPORT@HOTMAIL.COM,",,HILLIARD,OH,"","GREAT WEST CASUALTY CO.",2013-08-16,1000000.0,1,0,,""
1376843,"AG HORIZONS INC","EVANS FARMS-SPUDLAND",,,9378453950,"",,"NEW CARLISLE",OH,"","NATIONAL CASUALTY COMPANY",2013-08-20,750000.0,10,0,,""
1218889,"TERRY H WITTE","TERRY WITTE TRUCKING",,,4196364496,terry@williams-net.com,,BRYAN,OH,"","WESTFIELD INSURANCE CO.",2013-08-21,750000.0,1,0,,""
768735,"ESS DELIVERY SERVICES INC","",,,4194254222,TERRIE@ESSDELIVERY.COM,,FINDLAY,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2013-08-24,750000.0,10,0,,""
2179139,"HENRY LOGISTICS LLC","",,,9374179474,henrylogisticsllc@gmail.com,,VERSAILLES,OH,"","GREAT WEST CASUALTY CO.",2013-08-25,1000000.0,1,0,,""
284518,"BOBS MORAINE TRUCKING INC","",,,9377468420,ROBM@BMTINC.US,,FRANKLIN,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2014-08-01,750000.0,20,0,,""
264503,"BRT CHARTER SERVICE","",,,4405267111,DAVID.J@BRTCHARTER.COM,,BRECKSVILLE,OH,"","NATIONAL INTERSTATE INSURANCE COMPANY",2014-08-01,5000000.0,13,0,,""
71796,"NORRIS BROTHERS CO INC","",,,2167712233,mmcadams@norrisbr.com,,CLEVELAND,OH,"","THE PHOENIX INSURANCE CO",2014-08-01,750000.0,10,0,,""
920910,"CURRY'S TOWING","",,,7404468708,"",,GALLIPOLIS,OH,"","WHITE PINE INSURANCE COMPANY",2014-08-05,750000.0,2,0,,""
2526502,"PERFORMANCE TOWING LLC","",,,5137064476,ptowingrecovery@outlook.com,,CINCINNATI,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2014-08-06,750000.0,2,0,,""
2309859,"C&B TRANSPORT SERVICES LLC","",,,6142850211,BRENDAN.MATHEW@YAHOO.COM,,COLUMBUS,OH,"","NATIONAL INDEMNITY COMPANY",2014-08-11,750000.0,2,0,,""
1997128,"SPRANG ENTERPRISES INC","",,,3304664754,SPRANGENTERPRISES@SSSNET.COM,,SMITHVILLE,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2014-08-13,750000.0,1,0,,""
2216576,"VANGUARD TRANSPORTATION SERVICES INC","",,,2168562897,"",,VIENNA,OH,"","CALIFORNIA FACTORS & FINANCE",2014-08-17,0.0,0,0,,""
2538040,"CASE LOGISTICS LLC","",,,3306243231,"",,WOOSTER,OH,"","WESTFIELD INSURANCE CO.",2014-08-18,0.0,0,0,,""
2075532,"FORMULA CONSTRUCTION LLC","",,,4193458379,mark@truckingconsultant.com,,GRAYTOWN,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2014-08-18,1000000.0,7,0,,""
2101719,"WE B TRUCKING LLC","",,,3309391108,webtrucking@neo.rr.com,,STERLING,OH,"","GREAT WEST CASUALTY CO.",2014-08-18,750000.0,2,0,,""
1822274,"MICAHS TRUCKING LLC","",,,2168810871,SIMPLYPRECIOUSWOC@ATT.NET,,CLEVELAND,OH,"","TRUSTGARD INSURANCE COMPANY",2014-08-21,750000.0,1,0,,""
1653504,"XSA TRUCKING INC","",,,4402636854,XSATRUCKING@YAHOO.COM,,"NORTH ROYALTON",OH,"","GREAT WEST CASUALTY CO.",2014-08-23,1000000.0,1,0,,""
1663039,"JACOB WITMER FARM LLC","",,,3304824099,transportationmgmt@gmail.com,,LEETONIA,OH,"","STATE AUTOMOBILE MUTUAL INSURANCE COMPANY",2014-08-24,1000000.0,7,0,,""
2524075,"JEREMIE L SCOTT LLC","SCOTT ENTERPRIZES LTL",,,7402630871,JSCOTTENT@ROCKETMAIL.COM,,MILLERSBURG,OH,"","ARTISAN & TRUCKERS CASUALTY COMPANY",2014-08-29,750000.0,1,0,,""
2299867,"T & J COLE TRUCKING LLC","",,,4193290502,TANDJCOLETRUCKING@YAHOO.COM,,TOLEDO,OH,"","ARTISAN & TRUCKERS CASUALTY COMPANY",2014-08-29,750000.0,1,0,,""
2270542,"DB TRANSPORT SERVICES LLC","",,,2166445272,DBTRANSPORTSERVICES@GMAIL.COM,,STRONGSVILLE,OH,"","GREAT WEST CASUALTY CO.",2015-08-01,1000000.0,2,0,,""
931897,"KENTON TIRE CO INC","",,,5134711310,tristatear@cire.com,,CINCINNATI,OH,"","CENTRAL MUTUAL INSURANCE COMPANY",2015-08-01,1000000.0,5,0,,""
1838090,"VALLEY VIEW TRANSPORT LLC","VALLEY VIEW TRANSPORT",,,3303598500,shellyw@shipvvt.com,,MILLERSBURG,OH,"","WESCO INSURANCE COMPANY",2015-08-01,1000000.0,9,0,,""
1708125,"BLUE RIVER AUTO TRANSPORT LLC","",,,4052830698,"",,BELLEVUE,OH,"","NATIONAL INDEMNITY COMPANY",2015-08-03,750000.0,1,0,,""
2788532,"PERSEVERE PRODUCE LLC","PERSEVERE PRODUCE",,,8592611930,"",,"AVON LAKE",OH,"","FIDELITY & DEPOSIT CO. OF MARYLAND",2015-08-04,0.0,0,0,,""
1132825,"LYLE HARTMAN TRUCKING LLC","",,,4193928647,KB8SNP@YAHOO.COM,,"LIBERTY CENTER",OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2015-08-05,750000.0,1,0,,""
2786642,"M & T BROKERAGE LLC","",,,7403732977,"",,MARIETTA,OH,"","MERCHANTS NATIONAL BONDING, INC",2015-08-05,0.0,0,0,,""
2359501,"DORSEY & SAYRE TRUCKING LLC","D & S TRUCKING",,,7408151485,"",,LARUE,OH,"","AMCO INSURANCE COMPANY",2015-08-06,750000.0,1,0,,""
2516418,"SNA TRANSPORT INC","",,,9173654730,SNATRANSPORT12@GMAIL.COM,,"WEST CHESTER",OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2015-08-06,750000.0,2,0,,""
1027217,"JOHN J FISHER","J & S FARMS",,,4192368244,jandsfarms@hotmail.com,,WAPAKONETA,OH,"","HASTINGS MUTUAL INSURANCE CO.",2015-08-07,1000000.0,1,0,,""
2228192,"ROCKPORT LOGISTICS INC","",,,4404811049,"",,WESTLAKE,OH,"","UNITED STATES FIRE INSURANCE CO.",2015-08-07,0.0,0,0,,""
1798703,"JEDD ENTERPRISES LLC","",,,4404377029,jeddtrucking@YAHOO.COM,,ORWELL,OH,"","ARTISAN & TRUCKERS CASUALTY COMPANY",2015-08-08,750000.0,2,0,,""
2072248,"BUCKEYE EXPEDITORS LLC","",,,7404266640,"",,JEFFERSONVILLE,OH,"","ARTISAN & TRUCKERS CASUALTY COMPANY",2015-08-12,750000.0,2,0,,""
2418662,"FINELINE LLC","",,,7404645338,FINELINEAUTOTRANSPORT@GMAIL.COM,,"GROVE CITY",OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2015-08-12,1000000.0,1,0,,""
2637403,"HOLY SHIP TRANSPORTATION LLC","",,,3303183238,dispatch@holyshipllc.com,,YOUNGSTOWN,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2015-08-12,750000.0,1,0,,""
1398259,"RV TRANSPORT OF OHIO LLC","",,,8778774494,mdurnell@rvwholesalers.com,,LAKEVIEW,OH,"","MOTORISTS MUTUAL INSURANCE CO.",2015-08-13,0.0,8,0,,""
2490575,"SHIIDAAD TRUCKING CORP","MOHAMED WARSAME",,,6142165769,shiidaadtrucking@gmail.com,,COLUMBUS,OH,"","NATIONAL INDEMNITY COMPANY",2015-08-13,750000.0,1,0,,""
2784578,"TRANS CARGO INC","",,,9174639100,TRANSCARGO212@GMAIL.COM,,MONROE,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2015-08-14,750000.0,1,0,,""
2180584,"B R & R TRUCKING INC","",,,7405351902,"SCREST15@GMAIL.COM/ RENNIE57@COMCAST.NET",,"MINGO JUNCTION",OH,"","CENTRAL MUTUAL INSURANCE COMPANY",2015-08-18,1000000.0,4,0,,""
1197040,"RICHARD C WIGTON","RCW TRUCKING",,,3304963652,RCWTRUCKING@centurylink.net,,"BIG PRAIRIE",OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2015-08-23,1000000.0,1,0,,""
2545187,"FREIGHT FORWARD TRANSPORT LLC","",,,3348554140,"",,CLEVELAND,OH,"","LIBERTY NATIONAL FINANCIAL CORP.",2015-08-24,0.0,0,0,,""
987017,"BRIAN OGBURN","",,,3303320745,"",,SALEM,OH,"","SENTRY SELECT INSURANCE COMPANY",2015-08-25,750000.0,4,0,,""
486134,"JULIA E PENWELL","PENWELL'S GARAGE",,,7407738389,transportationmgmt@gmail.com,,CHILLICOTHE,OH,"","EMPLOYERS MUTUAL CASUALTY CO.",2015-08-26,750000.0,3,0,,""
614473,"GLN INC","",,,4193082304,GLNINC95@GMAIL.COM,,TONTOGANY,OH,"","EMPLOYERS MUTUAL CASUALTY CO.",2015-08-28,750000.0,1,0,,""
2908245,"APEX TRUCKING LLC","",,,6149406773,connor@apextruckingllc.com,,AKRON,OH,"","ERIE INSURANCE COMPANY",2016-08-01,750000.0,3,0,,""
1566565,"ENVIRITE TRANSPORTATION LLC","",,,3304566238,dmcken@envirite.com,,CANTON,OH,"","XL SPECIALTY INSURANCE COMPANY",2016-08-01,1000000.0,1,0,,""
835533,"FREEDOM ENTERPRISES INC","",,,4196730220,ryrose@windstream.net,,KENTON,OH,"","AUTO OWNERS INSURANCE COMPANY",2016-08-01,750000.0,4,0,,""
1202839,"J ROSS EXPRESS INC","",,,2168833600,JROSSEXPRESS@GMAIL.COM,,CLEVELAND,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2016-08-01,750000.0,30,0,,""
2504873,"MACEJKO'S SERVICE LLC","DELORES MACEJKO",,,3307550024,MACEJKO55@SBCGLOBAL.NET,,STRUTHERS,OH,"","ALLIED PROPERTY & CASUALTY  INSURANCE COMPANY",2016-08-01,1000000.0,2,0,,""
686294,"MICHAEL'S FINER MEATS LLC","MICHAEL'S FINER MEATS & SEAFOODS",,,6145274900,dhillis@chefswarehouse.com,,COLUMBUS,OH,"","SAFETY NATIONAL CASUALTY CORPORATION",2016-08-01,3000000.0,7,0,,""
1284472,"STEYER TRUCKING LLC","",,,4196190063,losteyer@aol.com,,FOSTORIA,OH,"","AUTO OWNERS INSURANCE COMPANY",2016-08-01,750000.0,1,0,,""
2336816,"STOSE BROTHERS TRUCKING LLC","",,,4193054728,joyceg@tstcinc.com,,MENDON,OH,"","AUTO OWNERS INSURANCE COMPANY",2016-08-01,750000.0,4,0,,""
303057,"TOM TROUT TRUCKING INC","",,,3306252444,dispatch@TOMTROUTTRUCKING.COM,,HOMERVILLE,OH,"","GREAT WEST CASUALTY CO.",2016-08-01,1000000.0,4,0,,""
1210896,"WIL-SITES TRUCK LINES LLC","",,,4126134109,CHAD@WILSITESTRUCKLINES.COM,,COLUMBUS,OH,"","GREAT WEST CASUALTY CO.",2016-08-01,1000000.0,290,0,,""
2457215,"JIMMY'S REDNECK PARTY BUS LLC","",,,5133240298,jimmysredneckpartybus@yahoo.com,,MIDDLETOWN,OH,"","NATIONAL INDEMNITY COMPANY",2016-08-02,1500000.0,1,0,,""
1990586,"TRENT A TOBIN","T T TRUCKING",,,4197683388,TOBIN.39@OSU.EDU,,FREDERICKTOWN,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2016-08-03,750000.0,1,0,,""
2171351,"DAN WEAVER TRUCKING LLC","",,,3304650283,danw7066@gmail.com,,HOLMESVILLE,OH,"","SENTRY SELECT INSURANCE COMPANY",2016-08-04,750000.0,1,0,,""
2313904,"DIESEL LOGISTICS INC","",,,"","",,SPRINGBORO,OH,"","PACIFIC FINANCIAL ASSOCIATION, INC.",2016-08-04,0.0,0,0,,""
605574,"EVILSIZER TRUCKING LLC","",,,7408198779,MYJACKYE@GMAIL.COM,,ZANESVILLE,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2016-08-05,750000.0,1,0,,""
1691282,"LIFTED UP TRUCKING INC","",,,6143944013,"",,COLUMBUS,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2016-08-05,750000.0,4,0,,""
2803747,"RACHO GROUP LLC","",,,5139177404,tuviyarchi1@gmail.com,,CINCINNATI,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2016-08-08,750000.0,1,0,,""
1300822,"TOLEDO LIMOUSINE SERVICE LLC","TOLEDO LIMOUSINES",,,4194741000,WKLIMO@ATT.NET,,SYLVANIA,OH,"","FALLS LAKE NATIONAL INSURANCE COMPANY",2016-08-08,5000000.0,2,0,,""
1272318,"STUMPER TRUCKING LLC","","MICHAEL S STUMP",Representative,"(419) 466-5602",stumper70@yahoo.com,,WALBRIDGE,OH,"","ACUITY, A MUTUAL INSURANCE COMPANY",2016-08-16,750000.0,1,0,,""
2635880,"SCOTTYS INDUSTRIAL LIFT TRUCK SERVICE INC","",,,3305257812,SCOTTYSLIFTTRUCK@GMAIL.COM,,HOMEWORTH,OH,"","WESTFIELD INSURANCE CO.",2016-08-18,750000.0,1,0,,""
